Molecule Name,Target,Gene,Uniprot,CHEMBL,Target Class,Probability,Active 2D/3D
20(29)-Lupene-3β-isoferulate,Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,0.0745649542,0 /  3     
20(29)-Lupene-3β-isoferulate,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0.0745649542,0 /  46     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.0745649542,0 /  24     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.0745649542,0 /  17     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.0745649542,0 /  34     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0.0745649542,0 /  24     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.0745649542,0 /  38     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.0745649542,0 /  18     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase VB,CA5B,Q9Y2D0,CHEMBL3969,Lyase,0.0745649542,0 /  16     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.0745649542,0 /  21     
20(29)-Lupene-3β-isoferulate,Low molecular weight phosphotyrosine protein phosphatase,ACP1,P24666,CHEMBL4903,Phosphatase,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.0745649542,0 /  2     
20(29)-Lupene-3β-isoferulate,Phosphodiesterase 9A,PDE9A,O76083,CHEMBL3535,Phosphodiesterase,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Phosphodiesterase 1B,PDE1B,Q01064,CHEMBL4425,Phosphodiesterase,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Tyrosine-protein kinase FYN,FYN,P06241,CHEMBL1841,Kinase,0.0745649542,0 /  2     
20(29)-Lupene-3β-isoferulate,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.0745649542,0 /  18     
20(29)-Lupene-3β-isoferulate,Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.0745649542,0 /  19     
20(29)-Lupene-3β-isoferulate,Cyclooxygenase-1,PTGS1,P23219,CHEMBL221,Oxidoreductase,0.0745649542,0 /  10     
20(29)-Lupene-3β-isoferulate,Norepinephrine transporter,SLC6A2,P23975,CHEMBL222,Electrochemical transporter,0.0745649542,0 /  5     
20(29)-Lupene-3β-isoferulate,Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.0745649542,0 /  2     
20(29)-Lupene-3β-isoferulate,MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Aldo-keto-reductase family 1 member C3,AKR1C3,P42330,CHEMBL4681,Enzyme,0.0745649542,0 /  32     
20(29)-Lupene-3β-isoferulate,Aldo-keto reductase family 1 member C4,AKR1C4,P17516,CHEMBL4999,Enzyme,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Aldo-keto reductase family 1 member C2,AKR1C2,P52895,CHEMBL5847,Enzyme,0.0745649542,0 /  1     
20(29)-Lupene-3β-isoferulate,Neurokinin 3 receptor,TACR3,P29371,CHEMBL4429,Family A G protein-coupled receptor,0,7 /  0     
20(29)-Lupene-3β-isoferulate,Dual-specificity tyrosine-phosphorylation regulated kinase 2,DYRK2,Q92630,CHEMBL4376,Kinase,0,0 /  4     
20(29)-Lupene-3β-isoferulate,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0,1 /  38     
20(29)-Lupene-3β-isoferulate,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0,1 /  7     
20(29)-Lupene-3β-isoferulate,Neurokinin 1 receptor,TACR1,P25103,CHEMBL249,Family A G protein-coupled receptor,0,2 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 6,HDAC6,Q9UBN7,CHEMBL1865,Eraser,0,71 /  0     
20(29)-Lupene-3β-isoferulate,Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0,0 /  29     
20(29)-Lupene-3β-isoferulate,Serotonin 1a (5-HT1a) receptor,HTR1A,P08908,CHEMBL214,Family A G protein-coupled receptor,0,0 /  4     
20(29)-Lupene-3β-isoferulate,Toll-like receptor 4   (by homology),TLR4,O00206,CHEMBL5255,Toll-like and Il-1 receptors,0,0 /  7     
20(29)-Lupene-3β-isoferulate,Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0,0 /  3     
20(29)-Lupene-3β-isoferulate,Phosphodiesterase 2A,PDE2A,O00408,CHEMBL2652,Phosphodiesterase,0,2 /  0     
20(29)-Lupene-3β-isoferulate,DNA topoisomerase II alpha,TOP2A,P11388,CHEMBL1806,Isomerase,0,0 /  15     
20(29)-Lupene-3β-isoferulate,Monoglyceride lipase,MGLL,Q99685,CHEMBL4191,Enzyme,0,0 /  2     
20(29)-Lupene-3β-isoferulate,Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0,1 /  5     
20(29)-Lupene-3β-isoferulate,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0,0 /  58     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 8,HDAC8,Q9BY41,CHEMBL3192,Eraser,0,11 /  0     
20(29)-Lupene-3β-isoferulate,Protein kinase C delta   (by homology),PRKCD,Q05655,CHEMBL2996,Kinase,0,0 /  17     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 1,HDAC1,Q13547,CHEMBL325,Eraser,0,8 /  0     
20(29)-Lupene-3β-isoferulate,Acyl coenzyme A:cholesterol acyltransferase 1   (by homology),SOAT1,P35610,CHEMBL2782,Enzyme,0,2 /  0     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0,1 /  36     
20(29)-Lupene-3β-isoferulate,Bradykinin B2 receptor,BDKRB2,P30411,CHEMBL3157,Family A G protein-coupled receptor,0,2 /  0     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0,0 /  18     
20(29)-Lupene-3β-isoferulate,Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Dopamine D3 receptor   (by homology),DRD3,P35462,CHEMBL234,Family A G protein-coupled receptor,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 3,HDAC3,O15379,CHEMBL1829,Eraser,0,3 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 2,HDAC2,Q92769,CHEMBL1937,Eraser,0,3 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 10,HDAC10,Q969S8,CHEMBL5103,Eraser,0,3 /  0     
20(29)-Lupene-3β-isoferulate,Gonadotropin-releasing hormone receptor,GNRHR,P30968,CHEMBL1855,Family A G protein-coupled receptor,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Dual specificity phosphatase Cdc25B,CDC25B,P30305,CHEMBL4804,Phosphatase,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Thrombin,F2,P00734,CHEMBL204,Protease,0,1 /  0     
20(29)-Lupene-3β-isoferulate,C-C chemokine receptor type 3,CCR3,P51677,CHEMBL3473,Family A G protein-coupled receptor,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Cytosolic phospholipase A2,PLA2G4A,P47712,CHEMBL3816,Enzyme,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Vasopressin V1a receptor   (by homology),AVPR1A,P37288,CHEMBL1889,Family A G protein-coupled receptor,0,2 /  0     
20(29)-Lupene-3β-isoferulate,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0,0 /  22     
20(29)-Lupene-3β-isoferulate,Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0,0 /  27     
20(29)-Lupene-3β-isoferulate,Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0,2 /  0     
20(29)-Lupene-3β-isoferulate,Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0,2 /  0     
20(29)-Lupene-3β-isoferulate,Tyrosine-protein kinase TXK,TXK,P42681,CHEMBL4367,Kinase,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Tyrosine-protein kinase BTK,BTK,Q06187,CHEMBL5251,Kinase,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0,0 /  1     
20(29)-Lupene-3β-isoferulate,Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0,0 /  1     
20(29)-Lupene-3β-isoferulate,Adenosine A2b receptor,ADORA2B,P29275,CHEMBL255,Family A G protein-coupled receptor,0,0 /  1     
20(29)-Lupene-3β-isoferulate,C-C chemokine receptor type 5,CCR5,P51681,CHEMBL274,Family A G protein-coupled receptor,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0,0 /  5     
20(29)-Lupene-3β-isoferulate,HMG-CoA reductase   (by homology),HMGCR,P04035,CHEMBL402,Oxidoreductase,0,0 /  29     
20(29)-Lupene-3β-isoferulate,Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 5,HDAC5,Q9UQL6,CHEMBL2563,Eraser,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 7,HDAC7,Q8WUI4,CHEMBL2716,Eraser,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Histone deacetylase 4,HDAC4,P56524,CHEMBL3524,Eraser,0,1 /  0     
20(29)-Lupene-3β-isoferulate,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0,0 /  2     
20(29)-Lupene-3β-isoferulate,Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0,0 /  6     
20(29)-Lupene-3β-isoferulate,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0,0 /  1     
20(29)-Lupene-3β-isoferulate,Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0,0 /  3     
20(29)-Lupene-3β-isoferulate,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0,0 /  6     
20(29)-Lupene-3β-isoferulate,Histone acetyltransferase p300,EP300,Q09472,CHEMBL3784,Writer,0,0 /  2     
20(29)-Lupene-3β-isoferulate,Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0,0 /  2     
20(29)-Lupene-3β-isoferulate,Estradiol 17-beta-dehydrogenase 3,HSD17B3,P37058,CHEMBL4234,Enzyme,0,0 /  1     
20(29)-Lupene-3β-isoferulate,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0,1 /  26     
20(29)-Lupene-3β-isoferulate,PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0,0 /  1     
Ornithosaponin A,11-beta-hydroxysteroid dehydrogenase 2,HSD11B2,P80365,CHEMBL3746,Enzyme,0.031763241,0 /  3     
Ornithosaponin A,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.031763241,0 /  8     
Ornithosaponin A,Interleukin-2,IL2,P60568,CHEMBL5880,Secreted protein,0.0216065193,0 /  1     
Ornithosaponin A,Zinc finger protein GLI1,GLI1,P08151,CHEMBL5461,Transcription factor,0.0216065193,0 /  2     
Ornithosaponin A,Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.0216065193,0 /  1     
Ornithosaponin A,Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.0216065193,38 /  21     
Ornithosaponin A,Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0216065193,0 /  4     
Ornithosaponin A,Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.0216065193,2 /  7     
Ornithosaponin A,Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0,0 /  6     
Ornithosaponin A,Androgen Receptor   (by homology),AR,P10275,CHEMBL1871,Nuclear receptor,0,0 /  20     
Ornithosaponin A,Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0,0 /  13     
Ornithosaponin A,Nuclear receptor ROR-gamma,RORC,P51449,CHEMBL1741186,Nuclear receptor,0,0 /  2     
Ornithosaponin A,Receptor-type tyrosine-protein phosphatase alpha,PTPRA,P18433,CHEMBL3918,Phosphatase,0,6 /  0     
Ornithosaponin A,Platelet activating factor receptor,PTAFR,P25105,CHEMBL250,Family A G protein-coupled receptor,0,0 /  16     
Ornithosaponin A,Thrombin,F2,P00734,CHEMBL204,Protease,0,2 /  6     
Ornithosaponin A,Integrin alpha-V/beta-3,ITGAV ITGB3,P06756 P05106,CHEMBL1907598,Membrane receptor,0,52 /  0     
Ornithosaponin A,Thymidylate synthase   (by homology),TYMS,P04818,CHEMBL1952,Transferase,0,59 /  0     
Ornithosaponin A,Sodium/glucose cotransporter 2,SLC5A2,P31639,CHEMBL3884,Electrochemical transporter,0,14 /  0     
Ornithosaponin A,Sodium/glucose cotransporter 1,SLC5A1,P13866,CHEMBL4979,Electrochemical transporter,0,11 /  0     
Ornithosaponin A,Serotonin 2b (5-HT2b) receptor,HTR2B,P41595,CHEMBL1833,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Alpha-2b adrenergic receptor,ADRA2B,P18089,CHEMBL1942,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Dopamine D1 receptor,DRD1,P21728,CHEMBL2056,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Alpha-1d adrenergic receptor,ADRA1D,P25100,CHEMBL223,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Serotonin 2c (5-HT2c) receptor,HTR2C,P28335,CHEMBL225,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Cytochrome P450 2D6,CYP2D6,P10635,CHEMBL289,Cytochrome P450,0,0 /  1     
Ornithosaponin A,Serotonin 6 (5-HT6) receptor,HTR6,P50406,CHEMBL3371,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Alpha-1a adrenergic receptor   (by homology),ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0,0 /  2     
Ornithosaponin A,Serotonin 1b (5-HT1b) receptor   (by homology),HTR1B,P28222,CHEMBL1898,Family A G protein-coupled receptor,0,0 /  1     
Ornithosaponin A,Squalene synthetase   (by homology),FDFT1,P37268,CHEMBL3338,Enzyme,0,0 /  154     
Ornithosaponin A,Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0,2 /  0     
Ornithosaponin A,Protein phosphatase 2C beta,PPM1B,O75688,CHEMBL2845,Phosphatase,0,1 /  1     
Ornithosaponin A,Serine/threonine protein phosphatase PP1-gamma catalytic subunit,PPP1CC,P36873,CHEMBL4438,Phosphatase,0,1 /  2     
Ornithosaponin A,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0,1 /  3     
Ornithosaponin A,"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",PPP2R5A,Q15172,CHEMBL4763,Phosphatase,0,1 /  1     
Ornithosaponin A,Vitamin D receptor,VDR,P11473,CHEMBL1977,Nuclear receptor,0,0 /  2     
Ornithosaponin A,Integrin alpha-IIb/beta-3,ITGA2B ITGB3,P08514 P05106,CHEMBL2093869,Membrane receptor,0,45 /  0     
Ornithosaponin A,Integrin alpha-V/beta-5,ITGB5 ITGAV,P18084 P06756,CHEMBL2096675,Membrane receptor,0,15 /  0     
Ornithosaponin A,Integrin alpha-V/beta-6,ITGAV ITGB6,P06756 P18564,CHEMBL2111416,Membrane receptor,0,8 /  0     
Ornithosaponin A,Endothelin receptor ET-B   (by homology),EDNRB,P24530,CHEMBL1785,Family A G protein-coupled receptor,0,1 /  0     
Ornithosaponin A,Glycine receptor subunit alpha-1,GLRA1,P23415,CHEMBL5845,Ligand-gated ion channel,0,0 /  9     
Ornithosaponin A,Glycine receptor subunit alpha-2,GLRA2,P23416,CHEMBL5871,Ligand-gated ion channel,0,0 /  8     
Ornithosaponin A,DNA polymerase alpha subunit,POLA1,P09884,CHEMBL1828,Transferase,0,0 /  2     
Ornithosaponin A,Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0,0 /  145     
Ornithosaponin A,Protein phosphatase 2C alpha,PPM1A,P35813,CHEMBL2437,Phosphatase,0,0 /  1     
Ornithosaponin A,DNA topoisomerase I,TOP1,P11387,CHEMBL1781,Isomerase,0,9 /  0     
Ornithosaponin A,Cathepsin (B and K),CTSB,P07858,CHEMBL4072,Protease,0,2 /  0     
Ornithosaponin A,Sodium/potassium-transporting ATPase alpha-1 chain,ATP1A1,P05023,CHEMBL1807,Primary active transporter,0,0 /  1     
Ornithosaponin A,Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0,10 /  0     
Ornithosaponin A,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0,3 /  0     
Ornithosaponin A,Matrix metalloproteinase 8,MMP8,P22894,CHEMBL4588,Protease,0,2 /  0     
Ornithosaponin A,Peroxisome proliferator-activated receptor gamma,PPARG,P37231,CHEMBL235,Nuclear receptor,0,2 /  0     
Ornithosaponin A,Peroxisome proliferator-activated receptor alpha,PPARA,Q07869,CHEMBL239,Nuclear receptor,0,2 /  0     
Ornithosaponin A,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0,2 /  1     
Ornithosaponin A,Sphingosine 1-phosphate receptor Edg-3,S1PR3,Q99500,CHEMBL3892,Family A G protein-coupled receptor,0,19 /  0     
Ornithosaponin A,Sphingosine 1-phosphate receptor Edg-1,S1PR1,P21453,CHEMBL4333,Family A G protein-coupled receptor,0,25 /  0     
Ornithosaponin A,Beta-galactosidase,GLB1,P16278,CHEMBL2522,Hydrolase,0,1 /  0     
Ornithosaponin A,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0,23 /  0     
Ornithosaponin A,Cytochrome P450 17A1,CYP17A1,P05093,CHEMBL3522,Cytochrome P450,0,0 /  5     
Ornithosaponin A,Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP,PTPN22,Q9Y2R2,CHEMBL2889,Phosphatase,0,2 /  0     
Ornithosaponin A,Delta opioid receptor   (by homology),OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0,15 /  0     
Ornithosaponin A,Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0,2 /  0     
Ornithosaponin A,Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0,2 /  0     
Ornithosaponin A,Adrenergic receptor beta,ADRB2,P07550,CHEMBL210,Family A G protein-coupled receptor,0,5 /  0     
Ornithosaponin A,Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0,1 /  0     
Ornithosaponin A,Purinergic receptor P2Y12,P2RY12,Q9H244,CHEMBL2001,Family A G protein-coupled receptor,0,32 /  0     
Ornithosaponin A,Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0,3 /  0     
Ornithosaponin A,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0,8 /  0     
Ornithosaponin A,Leukocyte adhesion glycoprotein LFA-1 alpha,ITGAL,P20701,CHEMBL1803,Adhesion,0,1 /  0     
Ornithosaponin A,Folylpoly-gamma-glutamate synthetase   (by homology),FPGS,Q05932,CHEMBL3171,Enzyme,0,3 /  0     
Ornithosaponin A,GAR transformylase   (by homology),GART,P22102,CHEMBL3972,Ligase,0,5 /  0     
Ornithosaponin A,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0,1 /  0     
Ornithosaponin A,HLA class I histocompatibility antigen A-3,HLA-A,P04439,CHEMBL2632,Surface antigen,0,2 /  0     
Ornithosaponin A,Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0,1 /  0     
Ornithosaponin A,Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0,0 /  4     
Ornithosaponin A,Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0,3 /  0     
Ornithosaponin A,Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0,0 /  25     
Ornithosaponin A,Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0,0 /  25     
Ornithosaponin A,Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0,0 /  4     
Ornithosaponin A,Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0,0 /  7     
Ornithosaponin A,Integrin alpha-5/beta-1,ITGB1 ITGA5,P05556 P08648,CHEMBL2095226,Membrane receptor,0,7 /  0     
Ornithosaponin A,Growth factor receptor-bound protein 2,GRB2,P62993,CHEMBL3663,Other cytosolic protein,0,8 /  0     
Ornithosaponin A,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0,2 /  0     
Ornithosaponin A,Inhibitor of apoptosis protein 3,XIAP,P98170,CHEMBL4198,Other cytosolic protein,0,1 /  0     
Ornithosaponin A,Dihydrofolate reductase   (by homology),DHFR,P00374,CHEMBL202,Oxidoreductase,0,11 /  0     
Ornithosaponin A,Dipeptidyl peptidase IV,DPP4,P27487,CHEMBL284,Protease,0,2 /  0     
Ornithosaponin A,Bcl-2-related protein A1   (by homology),BCL2A1,Q16548,CHEMBL6044,Unclassified protein,0,1 /  0     
Ornithosaponin A,Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0,0 /  2     
Ornithosaponin A,Beta-1 adrenergic receptor,ADRB1,P08588,CHEMBL213,Family A G protein-coupled receptor,0,3 /  0     
Ornithosaponin A,Beta-3 adrenergic receptor,ADRB3,P13945,CHEMBL246,Family A G protein-coupled receptor,0,1 /  0     
Ornithosaponin A,Glucose-6-phosphate translocase,SLC37A4,O43826,CHEMBL3217398,Electrochemical transporter,0,1 /  0     
Ornithosaponin A,Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0,0 /  2     
Ornithosaponin A,Steroid 5-alpha-reductase 1,SRD5A1,P18405,CHEMBL1787,Oxidoreductase,0,1 /  0     
Ornithosaponin A,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0,3 /  0     
Ornithosaponin A,Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0,8 /  0     
Ornithosaponin A,Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0,3 /  0     
Ornithosaponin A,Vascular endothelial growth factor A,VEGFA,P15692,CHEMBL1783,Secreted protein,0,0 /  1     
Ornithosaponin A,Acidic fibroblast growth factor,FGF1,P05230,CHEMBL2120,Secreted protein,0,0 /  2     
P57 (glycoside),Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0642387798,0 /  6     
P57 (glycoside),Thrombin,F2,P00734,CHEMBL204,Protease,0.0642387798,0 /  8     
P57 (glycoside),Protein phosphatase 2C beta,PPM1B,O75688,CHEMBL2845,Phosphatase,0.0642387798,0 /  1     
P57 (glycoside),Serine/threonine protein phosphatase PP1-gamma catalytic subunit,PPP1CC,P36873,CHEMBL4438,Phosphatase,0.0642387798,0 /  3     
P57 (glycoside),"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.0642387798,0 /  8     
P57 (glycoside),"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",PPP2R5A,Q15172,CHEMBL4763,Phosphatase,0.0642387798,0 /  1     
P57 (glycoside),Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.0642387798,0 /  54     
P57 (glycoside),Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.0642387798,0 /  10     
P57 (glycoside),Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.0642387798,0 /  32     
P57 (glycoside),Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.0642387798,0 /  6     
P57 (glycoside),Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.0642387798,0 /  9     
P57 (glycoside),Zinc finger protein GLI1,GLI1,P08151,CHEMBL5461,Transcription factor,0.0642387798,0 /  2     
P57 (glycoside),Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.0642387798,0 /  5     
P57 (glycoside),Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.0642387798,4 /  240     
P57 (glycoside),Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.0642387798,0 /  13     
P57 (glycoside),Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.0642387798,4 /  39     
P57 (glycoside),11-beta-hydroxysteroid dehydrogenase 2,HSD11B2,P80365,CHEMBL3746,Enzyme,0.0642387798,0 /  4     
P57 (glycoside),11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.0642387798,0 /  12     
P57 (glycoside),Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.0642387798,0 /  2     
P57 (glycoside),Interleukin-2,IL2,P60568,CHEMBL5880,Secreted protein,0.0642387798,0 /  2     
P57 (glycoside),Geranylgeranyl transferase type I,PGGT1B FNTA,P53609 P49354,CHEMBL2095164,Enzyme,0.0642387798,0 /  1     
P57 (glycoside),Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.0642387798,0 /  3     
